source_column,target_column,confidence
category_id,seller_id,0.5117836594581604
category_id,seller_zip_code_prefix,0.21366636455059052
category_id,seller_city,0.13592787086963654
category_id,seller_state,0.12397308647632599
product_id,seller_id,0.7057886719703674
product_id,seller_state,0.2930215001106262
product_id,seller_city,0.2727043628692627
product_id,seller_zip_code_prefix,0.269011527299881
product_name,seller_city,0.4200459122657776
product_name,seller_state,0.38387808203697205
product_name,seller_id,0.30107957124710083
product_name,seller_zip_code_prefix,0.21613530814647675
supplier_id,seller_id,0.6781802177429199
supplier_id,seller_zip_code_prefix,0.31533366441726685
supplier_id,seller_state,0.3069625496864319
supplier_id,seller_city,0.2832479774951935
unit_price,seller_id,0.27458077669143677
unit_price,seller_zip_code_prefix,0.26202115416526794
unit_price,seller_city,0.2231455147266388
unit_price,seller_state,0.2212258279323578
units_in_stock,seller_zip_code_prefix,0.30944374203681946
units_in_stock,seller_id,0.2801711857318878
units_in_stock,seller_city,0.2717198431491852
units_in_stock,seller_state,0.25882914662361145
